numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
61998;20200320090000;101090;-360;6;20;7.200000;285.950000;278.850000;62;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100730;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;11.300000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
71805;20200320090000;103770;-100;6;180;5.200000;272.850000;270.450000;84;40000;3;2;2;100;8;2250;30;27;mq;103680;mq;mq;370;mq;mq;mq;mq;270.850000;mq;mq;6.900000;7.100000;-10;11;0.020000;0.000000;-30;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;3;2400;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78890;20200320090000;101650;30;5;90;6.800000;296.450000;292.150000;77;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101330;mq;mq;-30;mq;296.050000;mq;303.550000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.600000;0.600000;0.600000;0.600000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78894;20200320090000;101770;70;5;60;12.500000;297.750000;292.150000;71;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101250;mq;mq;-30;mq;295.350000;mq;302.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.600000;3.200000;3.400000;3.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78897;20200320090000;101690;-60;5;0;0.000000;293.850000;292.350000;91;23970;mq;mq;mq;mq;mq;mq;mq;mq;mq;101600;mq;mq;-10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78922;20200320090000;101630;50;5;80;7.900000;298.750000;293.350000;72;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101180;mq;mq;-40;mq;296.850000;mq;302.850000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.800000;0.800000;1.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20200320090000;101590;-40;5;110;1.600000;296.450000;294.550000;89;45640;0;mq;mq;75;5;800;mq;mq;mq;101500;mq;mq;-40;mq;mq;mq;mq;mq;mq;mq;3.600000;4.400000;-10;mq;mq;mq;mq;0.000000;3.100000;3.500000;3.500000;3.500000;mq;mq;mq;mq;5;mq;750;5;mq;930;6;mq;2160;mq;mq;mq;
81401;20200320090000;101250;0;5;0;0.000000;296.250000;295.950000;98;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101190;mq;mq;-10;mq;296.150000;mq;307.350000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20200320090000;101270;30;3;0;0.000000;297.550000;295.850000;90;12470;0;mq;mq;100;1;1250;mq;mq;mq;101180;mq;mq;10;mq;mq;mq;mq;298.650000;mq;mq;0.000000;2.600000;-10;mq;mq;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;1;mq;1200;7;mq;4680;8;mq;6300;mq;mq;mq;
81408;20200320090000;101240;20;3;mq;mq;296.950000;296.750000;99;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101160;mq;mq;20;mq;296.950000;mq;303.350000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.200000;0.800000;1.000000;1.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81415;20200320090000;101340;0;5;0;0.000000;296.250000;295.550000;96;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100110;mq;mq;20;mq;296.250000;mq;306.150000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20200320090000;95810;60;3;90;6.200000;269.850000;269.350000;96;8000;2;7;3;100;8;450;37;61;60;95290;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;25.200000;-30;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8;7;480;mq;mq;mq;mq;mq;mq;mq;mq;mq;
